FlightDate,Airline,Origin,Dest,Cancelled,Diverted,CRSDepTime,DepTime,DepDelayMinutes,DepDelay,ArrTime,ArrDelayMinutes,AirTime,CRSElapsedTime,ActualElapsedTime,Distance,Year,Quarter,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,DistanceGroup,DivAirportLandings
2021-03-17,SkyWest Airlines Inc.,SUN,DEN,False,False,1436,1428.0,0.0,-8.0,1607.0,0.0,79.0,109.0,99.0,557.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5316,OO,20304,OO,N622UX,5316,15041,1504102,35041,"Sun Valley/Hailey/Ketchum, ID",ID,16,Idaho,83,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,-1.0,1400-1459,10.0,1438.0,1557.0,10.0,1625,-18.0,0.0,-2.0,1600-1659,3,0.0
2021-03-17,SkyWest Airlines Inc.,SLC,DEN,False,False,858,854.0,0.0,-4.0,1051.0,21.0,78.0,92.0,117.0,391.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5320,OO,20304,OO,N624UX,5320,14869,1486903,34614,"Salt Lake City, UT",UT,49,Utah,87,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,-1.0,0800-0859,27.0,921.0,1039.0,12.0,1030,21.0,1.0,1.0,1000-1059,2,0.0
2021-03-17,SkyWest Airlines Inc.,SFO,BOI,False,False,1840,1832.0,0.0,-8.0,2059.0,0.0,70.0,97.0,87.0,522.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5327,OO,20304,OO,N259PS,5327,14771,1477104,32457,"San Francisco, CA",CA,6,California,91,10713,1071302,30713,"Boise, ID",ID,16,Idaho,83,0.0,-1.0,1800-1859,15.0,1847.0,2057.0,2.0,2117,-18.0,0.0,-2.0,2100-2159,3,0.0
2021-03-17,SkyWest Airlines Inc.,TUS,SFO,False,False,1520,1513.0,0.0,-7.0,1727.0,0.0,121.0,142.0,134.0,751.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5333,OO,20304,OO,N608UX,5333,15376,1537604,30436,"Tucson, AZ",AZ,4,Arizona,81,14771,1477104,32457,"San Francisco, CA",CA,6,California,91,0.0,-1.0,1500-1559,9.0,1522.0,1723.0,4.0,1742,-15.0,0.0,-1.0,1700-1759,4,0.0
2021-03-17,SkyWest Airlines Inc.,IAH,ASE,False,False,935,1004.0,29.0,29.0,1212.0,36.0,139.0,181.0,188.0,913.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5339,OO,20304,OO,N792SK,5339,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,10372,1037205,30372,"Aspen, CO",CO,8,Colorado,82,1.0,1.0,0900-0959,47.0,1051.0,1210.0,2.0,1136,36.0,1.0,2.0,1100-1159,4,0.0
2021-03-17,SkyWest Airlines Inc.,DSM,IAH,False,False,614,612.0,0.0,-2.0,919.0,39.0,169.0,146.0,187.0,802.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5349,OO,20304,OO,N792SK,5349,11423,1142307,31423,"Des Moines, IA",IA,19,Iowa,61,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,0.0,-1.0,0600-0659,13.0,625.0,914.0,5.0,840,39.0,1.0,2.0,0800-0859,4,0.0
2021-03-17,SkyWest Airlines Inc.,IAH,BOI,False,False,1645,1642.0,0.0,-3.0,1944.0,0.0,210.0,239.0,242.0,1482.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5350,OO,20304,OO,N167SY,5350,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,10713,1071302,30713,"Boise, ID",ID,16,Idaho,83,0.0,-1.0,1600-1659,30.0,1712.0,1942.0,2.0,1944,0.0,0.0,0.0,1900-1959,6,0.0
2021-03-17,SkyWest Airlines Inc.,LAX,BZN,False,False,1000,950.0,0.0,-10.0,1353.0,15.0,127.0,158.0,183.0,902.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5353,OO,20304,OO,N122SY,5353,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,10849,1084907,30849,"Bozeman, MT",MT,30,Montana,84,0.0,-1.0,1000-1059,21.0,1011.0,1318.0,35.0,1338,15.0,1.0,1.0,1300-1359,4,0.0
2021-03-17,SkyWest Airlines Inc.,DEN,GJT,False,False,1808,1829.0,21.0,21.0,1933.0,17.0,37.0,68.0,64.0,212.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5370,OO,20304,OO,N856AS,5370,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,11921,1192102,31921,"Grand Junction, CO",CO,8,Colorado,82,1.0,1.0,1800-1859,22.0,1851.0,1928.0,5.0,1916,17.0,1.0,1.0,1900-1959,1,0.0
2021-03-17,SkyWest Airlines Inc.,TYS,DEN,False,False,1700,1650.0,0.0,-10.0,1822.0,0.0,171.0,210.0,212.0,1162.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5372,OO,20304,OO,N790SK,5372,15412,1541205,35412,"Knoxville, TN",TN,47,Tennessee,54,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,-1.0,1700-1759,19.0,1709.0,1800.0,22.0,1830,-8.0,0.0,-1.0,1800-1859,5,0.0
2021-03-17,SkyWest Airlines Inc.,ATL,DEN,False,False,1325,1839.0,314.0,314.0,2002.0,302.0,179.0,215.0,203.0,1199.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5376,OO,20304,OO,N120SY,5376,10397,1039707,30397,"Atlanta, GA",GA,13,Georgia,34,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,1.0,12.0,1300-1359,18.0,1857.0,1956.0,6.0,1500,302.0,1.0,12.0,1500-1559,5,0.0
2021-03-17,SkyWest Airlines Inc.,IAH,MSP,False,False,1207,1238.0,31.0,31.0,1532.0,37.0,131.0,168.0,174.0,1034.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5379,OO,20304,OO,N127SY,5379,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,13487,1348702,31650,"Minneapolis, MN",MN,27,Minnesota,63,1.0,2.0,1200-1259,36.0,1314.0,1525.0,7.0,1455,37.0,1.0,2.0,1400-1459,5,0.0
2021-03-17,SkyWest Airlines Inc.,DEN,XWA,False,False,1125,1121.0,0.0,-4.0,1405.0,0.0,82.0,115.0,104.0,582.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5381,OO,20304,OO,N916EV,5381,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,16869,1686901,32389,"Williston, ND",ND,38,North Dakota,66,0.0,-1.0,1100-1159,16.0,1137.0,1359.0,6.0,1420,-15.0,0.0,-1.0,1400-1459,3,0.0
2021-03-17,SkyWest Airlines Inc.,CLT,DEN,False,False,1600,1630.0,30.0,30.0,1810.0,0.0,177.0,251.0,220.0,1337.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5384,OO,20304,OO,N108SY,5384,11057,1105703,31057,"Charlotte, NC",NC,37,North Carolina,36,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,1.0,2.0,1600-1659,12.0,1642.0,1739.0,31.0,1811,-1.0,0.0,-1.0,1800-1859,6,0.0
2021-03-17,SkyWest Airlines Inc.,MSP,IAH,False,False,1535,1558.0,23.0,23.0,1914.0,32.0,168.0,187.0,196.0,1034.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5392,OO,20304,OO,N127SY,5392,13487,1348702,31650,"Minneapolis, MN",MN,27,Minnesota,63,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,1.0,1.0,1500-1559,18.0,1616.0,1904.0,10.0,1842,32.0,1.0,2.0,1800-1859,5,0.0
2021-03-17,SkyWest Airlines Inc.,FSD,ORD,False,False,1500,1451.0,0.0,-9.0,1632.0,0.0,72.0,107.0,101.0,463.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5402,OO,20304,OO,N143SY,5402,11775,1177502,31775,"Sioux Falls, SD",SD,46,South Dakota,67,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,0.0,-1.0,1500-1559,15.0,1506.0,1618.0,14.0,1647,-15.0,0.0,-1.0,1600-1659,2,0.0
2021-03-17,SkyWest Airlines Inc.,DEN,SUN,False,False,1156,1150.0,0.0,-6.0,1333.0,0.0,86.0,122.0,103.0,557.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5403,OO,20304,OO,N622UX,5403,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,15041,1504102,35041,"Sun Valley/Hailey/Ketchum, ID",ID,16,Idaho,83,0.0,-1.0,1100-1159,14.0,1204.0,1330.0,3.0,1358,-25.0,0.0,-2.0,1300-1359,3,0.0
2021-03-17,SkyWest Airlines Inc.,SLC,LAX,False,False,630,724.0,54.0,54.0,805.0,33.0,86.0,122.0,101.0,590.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5408,OO,20304,OO,N154SY,5408,14869,1486903,34614,"Salt Lake City, UT",UT,49,Utah,87,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,1.0,3.0,0600-0659,12.0,736.0,802.0,3.0,732,33.0,1.0,2.0,0700-0759,3,0.0
2021-03-17,SkyWest Airlines Inc.,LAX,PSP,False,False,1855,1851.0,0.0,-4.0,1932.0,0.0,26.0,53.0,41.0,110.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5413,OO,20304,OO,N788SK,5413,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,14262,1426204,34262,"Palm Springs, CA",CA,6,California,91,0.0,-1.0,1800-1859,10.0,1901.0,1927.0,5.0,1948,-16.0,0.0,-2.0,1900-1959,1,0.0
2021-03-17,SkyWest Airlines Inc.,LAS,LAX,False,False,1638,1633.0,0.0,-5.0,1736.0,0.0,46.0,71.0,63.0,236.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5421,OO,20304,OO,N788SK,5421,12889,1288903,32211,"Las Vegas, NV",NV,32,Nevada,85,12892,1289208,32575,"Los Angeles, CA",CA,6,California,91,0.0,-1.0,1600-1659,11.0,1644.0,1730.0,6.0,1749,-13.0,0.0,-1.0,1700-1759,1,0.0
2021-03-17,SkyWest Airlines Inc.,IAH,SLC,False,False,1701,1659.0,0.0,-2.0,1940.0,11.0,185.0,208.0,221.0,1195.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5428,OO,20304,OO,N206SY,5428,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,14869,1486903,34614,"Salt Lake City, UT",UT,49,Utah,87,0.0,-1.0,1700-1759,27.0,1726.0,1931.0,9.0,1929,11.0,0.0,0.0,1900-1959,5,0.0
2021-03-17,SkyWest Airlines Inc.,ORD,BZN,False,False,1850,1847.0,0.0,-3.0,2047.0,0.0,156.0,215.0,180.0,1186.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5435,OO,20304,OO,N114SY,5435,13930,1393007,30977,"Chicago, IL",IL,17,Illinois,41,10849,1084907,30849,"Bozeman, MT",MT,30,Montana,84,0.0,-1.0,1800-1859,19.0,1906.0,2042.0,5.0,2125,-38.0,0.0,-2.0,2100-2159,5,0.0
2021-03-17,SkyWest Airlines Inc.,SFO,PSP,False,False,1840,1833.0,0.0,-7.0,1951.0,0.0,60.0,88.0,78.0,421.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5442,OO,20304,OO,N787SK,5442,14771,1477104,32457,"San Francisco, CA",CA,6,California,91,14262,1426204,34262,"Palm Springs, CA",CA,6,California,91,0.0,-1.0,1800-1859,14.0,1847.0,1947.0,4.0,2008,-17.0,0.0,-2.0,2000-2059,2,0.0
2021-03-17,SkyWest Airlines Inc.,DEN,FSD,False,False,1117,1118.0,1.0,1.0,1349.0,0.0,76.0,93.0,91.0,483.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5453,OO,20304,OO,N143SY,5453,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,11775,1177502,31775,"Sioux Falls, SD",SD,46,South Dakota,67,0.0,0.0,1100-1159,11.0,1129.0,1345.0,4.0,1350,-1.0,0.0,-1.0,1300-1359,2,0.0
2021-03-17,SkyWest Airlines Inc.,SFO,TUS,False,False,1045,1058.0,13.0,13.0,1300.0,5.0,99.0,130.0,122.0,751.0,2021,1,3,17,3,UA,UA_CODESHARE,19977,UA,5455,OO,20304,OO,N221PS,5455,14771,1477104,32457,"San Francisco, CA",CA,6,California,91,15376,1537604,30436,"Tucson, AZ",AZ,4,Arizona,81,0.0,0.0,1000-1059,18.0,1116.0,1255.0,5.0,1255,5.0,0.0,0.0,1200-1259,4,0.0
